song_id,name,duration,album_id,country_chart,chart_rank
2h9TDNEXRhcDIV3fsoEVq9,What Other People Say,194890,0VzqGKZQDQLSse6W0hgABW,Australia,50
67BtfxlNbhBmCDR2L2l8qd,MONTERO (Call Me By Your Name),137875,2Hjcfw8zHN4dJDZJGOzLd6,Austria,1
4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),198081,5dGWwsZ9iB2Xc3UKR0gif2,Austria,2
3iw6V4LH7yPj1ESORX9RIN,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,116750,1zEBi4O4AaY5M55dUcUp3z,Austria,3
3VT8hOC5vuDXBsHrR53WFh,Astronaut In The Ocean,132780,57UjGWNfxfsBCykDm73XBK,Austria,4
5QEqzFV7R8KSSCJa37tfvs,Leere Hände (feat. Sido & Samra),169191,1spjrywhvUe95xR7TY3ukN,Austria,5
6Tio0ZoDeSQnI7EBAqWer2,Cover Me In Sunshine,141050,7p0HJKqXo2WpApHFp1iDcI,Austria,6
26hbmLeqiz8loWjFshsegF,KIDS FROM THE BLOCK,176520,29usCRl97IbEQACNshGC5A,Austria,7
46zfTi4Wg6mmkOBPimtg6X,Frag mich nicht,157253,6UrYYz1NtrHW8GDQz0QccS,Austria,8
4cG7HUWYHBV6R6tHn1gxrl,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,169153,39qsmsNRXjVaFqTZj9af0j,Austria,9
43PGPuHIlVOc04jrZVh9L6,RAPSTAR,165925,0SVzFcpsByITKgURaxXdsV,Austria,10
7lPN2DXiMsVn7XUKtOW1CS,drivers license,242013,66FPnVL9G4CMKy3wvaGTcr,Austria,11
6f3Slt0GbA2bPZlz0aIFXN,The Business,164000,2adSO4KU3FDjeM1PXCRDZm,Austria,12
27OeeYzk6klgBh83TSvGMA,WITHOUT YOU,161384,3YjfdLdpQcVI72uKhooZst,Austria,13
5QO79kh1waicV47BqGRL3g,Save Your Tears,215626,4yP0hdKOZPNshxUOjY0cZj,Austria,14
5YaskwnGDZFDRipaqzbwQx,Your Love (9PM),150052,7F9yYqHRtIZnEGF2tANI4b,Austria,15
6a3kNt1UlUOapDKmEr3JzZ,Madonna,195734,3KAtEV9jbwMKd1BPbN4XfV,Austria,16
4hSJUp6k7QeHLxU32MrLIU,Ohne Dich,125720,6UkcKpsOgl3cHt90Ewypvm,Austria,17
5SFXOMJJ334Wn2PwBHeRZN,Girls Like Us,189000,5boy0Dm6JWz7YP8yIWdiyg,Austria,18
1v1oIWf2Xgh54kIWuKsDf6,Runaway,248826,6YMSXPIHkA2jPIlFHuejXW,Austria,19
2pPO9YecZimmuVQfIzfV6U,Wasted Love (feat. Lagique),139563,0i72GjB523RgrjK8HUa61B,Austria,20
