album_id,album_name,release_date
4iQUKFW9eZNn2fWcxuANT8,Disco Arranhado (Funk Remix),2021-01-22
0x28JzvWpaqtzw2YWKubKR,Liberdade (Quando o Grave Bate Forte),2020-12-18
7vmK77PL6WhlC2oIDJiFR2,Som No Talo,2021-01-22
0t4odyaTT5r6RJ7L2CjR8q,Facas (Ao Vivo),2020-10-15
3qHr515eeTF5tfUCHaCkse,Safadão Amplificado,2020-11-12
0EB9cgGjaXmq2YDrcpdSDE,"Da Roça Pra Cidade (Ao Vivo), Vol. 02",2021-02-19
0yqUVjjoQFD1wtu4OJSNM3,M4,2021-01-20
3IfMlmwvbnO0yPVTNCnwAb,"No Pelo 3, Pt. 1",2020-11-13
1GLViCxaCfb75xbzBGbskT,"Tudo Em Paz, Vol. 1",2021-01-22
2Hjcfw8zHN4dJDZJGOzLd6,MONTERO (Call Me By Your Name),2021-03-31
0035eEuC71Ht8KkKjmbGyL,Esquema Preferido,2020-11-26
4XL8jGKJBd6cOEyggh5cFO,Não Pode Se Apaixonar,2021-02-12
3qaeGIuXmO4lNgGgerapPc,Vida Louca,2021-04-02
0kn9FP6sRjDYjQkIsX2hBa,Piseiro Atualizado,2020-07-28
532ccGsBf6MOSS0mD7yWSx,Lance Individual,2020-11-13
3x3CccLoOFQN8jnFJxF91n,FALA MAL DE MIM,2021-01-28
4CwfuAMrV2zwnoOzJtuI1k,Troca de Calçada,2021-01-29
1Yg3QTRv9IGAWeJQb7q8bT,Por Mais Beijos Ao Vivo (ao Vivo),2020-03-26
1fjkJADMiiZWMDusZSMNix,Deixa de Onda (Porra Nenhuma),2021-01-21
2x3FO0DZC61UwKBFNsnkzX,Mds,2020-05-19
6AW51ww4T6cgKSxfj9PybR,Último Beijo,2020-11-27
7gS7wxmnbG0jm5qoFzOXt2,Churrasco das Coleguinhas,2020-11-20
67GYNRw2795hr6ZlyyU1Sa,É Problema,2020-11-12
5dGWwsZ9iB2Xc3UKR0gif2,Justice,2021-03-19
007jctHYAC50QpRyU3Cnj2,Só Não Divulga,2021-02-25
4ps8YCaJj1S9AmZ20mm7P6,Ô Moça,2020-12-21
40T4QuY2o5FmisyJf3AlEf,"Aqui e Agora, Vol.1 (Ao Vivo)",2021-01-29
6mpiRhzd62ck4gh6E0A5NF,Diferente dos Iguais,2020-12-17
56ZRzu6Nh2wsj48GYWZfm1,Piseiro Apaixonado,2021-02-04
1H3osN9EmZy0a8DGV27hXy,Ele Não Tem,2020-10-16
2E5eG2FJ0VAkg4rVmLlX1i,Amor da Despedida,2020-11-06
3jiWsFqKpHy8Ql3sW54xFz,"Volta Bebê, Volta Neném",2021-03-27
78YLa6QF2hX4A0QIX80QGy,O Embaixador - The Legacy (Ao Vivo),2021-02-04
54lVKhg9g9xAzZjMU46ay7,Saturno,2020-12-10
59wHxqp3FE5gfK0l4wAIc8,Pulei na Piscina (Ao Vivo),2020-08-21
7kbClkdK7jjoTIDAJmb1Pb,Freio da Blazer,2021-02-05
0HximOntVcjaDrMQcPxUXq,Cai de vagarinho até embaixo,2021-03-08
2Zwru555EbXVqOQ1c30LLH,DVD Novo dos Barões da Pisadinha Ao Vivo,2020-10-15
1zHR48K6XtWYm6bhrw4J6C,TAKE TIME,2020-03-27
07PF9SyKuu6hstifHc0nEt,MODO TURBO,2020-12-21
43Q8jiKg8whuFnVCwA1xOC,COR,2021-01-01
2jsCve1xB2Gi5fag004Wsh,Avisa que é o Funk,2020-10-09
72IDYBV8RByJdQh8U74JDg,Espirra o Lança,2021-03-12
7GRukQVPHOjQW1l6o3W9aa,Sigilo,2021-03-18
4wRvyoU54SubOhGWL2n9Rp,Cheiro do Mato (Acústico),2020-08-21
57UjGWNfxfsBCykDm73XBK,Astronaut In The Ocean,2019-06-07
1uDk1yrR8cucbTmpXR1G6V,Baby Me Atende,2021-02-26
17k2RAZkXJwm7bmiGAr0FZ,Cumpra-se (Ao Vivo),2020-09-10
1xpVDIfB11DKa1P2YJDdJP,Piseiro 2020 Ao Vivo,2020-10-15
2Hjcfw8zHN4dJDZJGOzLd6,MONTERO (Call Me By Your Name),2021-03-31
